"","ENT","Entidad","MUN","Municipio","Alf","Asi","EBC","Der","Pis","San","Agu","Dre","Ele","Lav","Ref","Ing"
"115",16,"Michoacán de Ocampo",15,"Coalcomán de Vázquez Pallares",0.894569433669511,0.915871121718377,0.361154324828874,0.861631819274213,0.879975124378109,0.915215588723051,0.957296849087894,0.939054726368159,0.927031509121061,0.731550580431177,0.824419568822554,9086.50086637279
"116",16,"Michoacán de Ocampo",50,"Maravatío",0.906105074864184,0.958982822910936,0.429489308009032,0.781805006420117,0.955551457026927,0.7996587974917,0.95421431206197,0.857156030984876,0.982017705643674,0.53896163777204,0.819070453707119,7606.71261313762
"117",16,"Michoacán de Ocampo",53,"Morelia",0.965008501162646,0.97494796374462,0.694119468341553,0.748956222988159,0.975478180129991,0.961745589600743,0.968927576601671,0.978505106778087,0.997056638811514,0.773741875580316,0.927288765088208,13645.0568422619
"118",16,"Michoacán de Ocampo",69,"La Piedad",0.948100694997082,0.945702402957486,0.542797855784195,0.798675888910041,0.995894514923993,0.984465732144839,0.982394496430817,0.989015053445279,0.996412323852498,0.819173724895514,0.948588970669823,13547.8415906656
"119",16,"Michoacán de Ocampo",102,"Uruapan",0.943702550945301,0.948055333495534,0.579727241703286,0.739830211044229,0.947802800318585,0.924024332529175,0.975078780603234,0.943451109854213,0.993836067087599,0.725300982304665,0.867325384091512,11594.4565950752
"120",16,"Michoacán de Ocampo",108,"Zamora",0.928474936767073,0.89790829348432,0.503020908435472,0.713833121558662,0.983355765767474,0.967886864703987,0.944778298041743,0.969498208564767,0.994293947034179,0.714830050615154,0.882106500350704,11765.4901095981
"121",16,"Michoacán de Ocampo",112,"Zitácuaro",0.918055799263029,0.972809475292919,0.567478031634446,0.641011818929154,0.907913139492087,0.799362041467305,0.974677953625322,0.967611336032389,0.984639921482027,0.541185130658815,0.710636731689363,8001.67342312892
"122",17,"Morelos",4,"Ayala",0.93109748140415,0.944572123833987,0.610548530109444,0.853589882008175,0.940310962754743,0.926563598032326,0.956210470836261,0.956166549543219,0.989766338721012,0.621310611384399,0.859012649332396,7482.0835057395
"123",17,"Morelos",6,"Cuautla",0.955866307575444,0.957160303380897,0.694447710000207,0.80050198003235,0.963378760798332,0.978850163836759,0.956527405421507,0.989871909442955,0.995029043789097,0.649128686327078,0.88749255287459,10600.9079986793
"124",17,"Morelos",7,"Cuernavaca",0.972300399426713,0.976352472618653,0.772566919710264,0.823444254019876,0.988317146059021,0.99304258498319,0.980323122898767,0.995031751961151,0.996544639521853,0.740791931266343,0.948477773627195,17872.4069941964
"125",17,"Morelos",8,"Emiliano Zapata",0.951685565644309,0.957253886010363,0.668260893885999,0.846977727126877,0.96538574361983,0.98166617776474,0.975432678204752,0.986799647990613,0.998679964799061,0.623936638310355,0.914637723672631,14501.0637990285
"126",17,"Morelos",11,"Jiutepec",0.967297901906168,0.980697554619557,0.734806526340766,0.836265636123258,0.981078884964264,0.990249241331277,0.975473857022039,0.992935674842048,0.996384922806494,0.688887783360695,0.924083378936371,12599.2396463207
"127",17,"Morelos",18,"Temixco",0.94132480106574,0.956876820640866,0.620213665543156,0.846091143463755,0.971224207264816,0.984013448480454,0.971026435493441,0.991298042059463,0.994429428439581,0.566879820686927,0.892642890104819,9419.32049932421
"128",17,"Morelos",29,"Yautepec",0.945811227967019,0.954235130756769,0.649880095923261,0.87409443450098,0.966350393284187,0.965574406546506,0.930337554230891,0.981341046171211,0.992345948996508,0.627244188917498,0.889421889880427,11546.4207359768
"129",18,"Nayarit",3,"Amatlán de Cañas",0.930774425934264,0.974171813587872,0.529059925516307,0.9397557167784,0.980250347705146,0.964116828929068,0.98442280945758,0.966620305980529,0.993602225312935,0.778303198887344,0.910152990264256,7010.54673192111
"130",18,"Nayarit",4,"Compostela",0.946509468993687,0.961993047508691,0.574017284638974,0.825611363303558,0.983189019896831,0.974345983787767,0.967759764185704,0.98581429624171,0.988761974944731,0.755941414885777,0.913181650700074,11652.9259957627
"131",18,"Nayarit",8,"Xalisco",0.969228111736255,0.974203950020153,0.744633019590405,0.828203639179249,0.989423845538953,0.990530652401156,0.993359158826785,0.993974051528008,0.997355961384738,0.788784357129681,0.936604562503843,18402.2606150846
"132",18,"Nayarit",12,"San Blas",0.930305600050253,0.96448087431694,0.529024950445207,0.84306661291948,0.972856494783003,0.960607893543021,0.972176016936337,0.975578406169666,0.991078179343717,0.67873884772418,0.844699833660971,8642.74942015049
"133",18,"Nayarit",15,"Santiago Ixcuintla",0.936991559010444,0.973282442748092,0.584999720717198,0.897819964769374,0.980708838043966,0.939848845636194,0.89809158988163,0.957863132829486,0.989025779066156,0.741208544707872,0.888842875383925,8247.12920002155
"134",18,"Nayarit",17,"Tepic",0.978511257264613,0.981007625017542,0.772843435710842,0.825453595718824,0.989211625301327,0.977056666553492,0.989398363494381,0.989288018198486,0.995034461684718,0.784215529827182,0.931051166264897,16982.9733588483
"135",18,"Nayarit",20,"Bahía de Banderas",0.96881002207379,0.961396106299504,0.65416288078045,0.804159933583384,0.972881117569848,0.986475717232327,0.98896024751547,0.992991749484343,0.994210575660979,0.7124273392087,0.913393024564035,14431.5259804418
"136",19,"Nuevo León",6,"Apodaca",0.990747373164773,0.98645100496766,0.826664604254914,0.889052420617524,0.998587543782976,0.996218671024379,0.998505203286019,0.998733223123745,0.999182928914816,0.911940005447141,0.976900323661492,17232.327885196
"137",19,"Nuevo León",18,"García",0.989839056128008,0.976528350355286,0.777453905401525,0.893972467860593,0.994337519506576,0.989314111614773,0.983785390503084,0.996626291149588,0.997101880062421,0.798261128037453,0.938158579178123,14217.6508780246
"138",19,"Nuevo León",19,"San Pedro Garza García",0.99120373103489,0.988575055537924,0.851615140705509,0.892630673263067,0.997434936738047,0.986050667204658,0.999654148773669,1,0.996627950543275,0.939014900423668,0.979047179871459,31343.6240642502
